Furn_Id,Name,Furn_type,Interactive,Image
EpywQXABBcv2dipsP,acoustic guitar,Musical Instrument,Play Music,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_0_0.png
K9she5Y4SuXA8MGBR,acoustic guitar,Musical Instrument,Play Music,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_1_0.png
vLq9iphAvALBXazDr,acoustic guitar,Musical Instrument,Play Music,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_2_0.png
nuqeFzNE5PneqGHaj,acoustic guitar,Musical Instrument,Play Music,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_3_0.png
DotFsojrhCwrLZ3TF,acoustic guitar,Musical Instrument,Play Music,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_4_0.png
RuRMFyvWnDC2SoG8m,acoustic guitar,Musical Instrument,Play Music,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_5_0.png
NWv9CJfSPtBTKoL4B,acoustic guitar,Musical Instrument,Play Music,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_6_0.png
J4inuBziPCSGZNEPM,air circulator,Fan,Play,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_0_0.png
E2dZPSD94isFZWd2F,air circulator,Fan,Play,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_1_0.png
uAY6FFGdXWeAG9gMa,air circulator,Fan,Play,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_2_0.png
bGCQ9bA27ftHoLoKb,air circulator,Fan,Play,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_3_0.png
5pBqNZaZWveKR6K5s,air circulator,Fan,Play,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_4_0.png
yAj7DyFRDjWbh7qYP,alto saxophone,Musical Instrument,Play Music,https://acnhcdn.com/latest/FtrIcon/FtrAltosax.png
t2LzAKDofAZYyqZ6r,anatomical model,Hospital,None,https://acnhcdn.com/latest/FtrIcon/FtrAnatomicalmodel.png
zgw6WaZRQgrpQ5FTC,anchor statue,Seaside,None,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_0_0.png
hdZokWHmfoFTt2FjM,anchor statue,Seaside,None,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_1_0.png
NNfoBT2rgDcmG5HhD,anchor statue,Seaside,None,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_2_0.png
ZWyY2rRANgXoGcDha,anchor statue,Seaside,None,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_3_0.png
vRhn2x3vj2mii4AKH,anchor statue,Seaside,None,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_4_0.png
6wyLNus8QqXkbBu72,anchor statue,Seaside,None,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_5_0.png
kzirasu23o7Xwz8Cg,angled signpost,Vehicle,None,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_0_0.png
8MxLKTxpMDwarBE2M,angled signpost,Vehicle,None,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_1_0.png
uvn5kiMi84NMuesmb,angled signpost,Vehicle,None,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_2_0.png
D2bHBoj8ZotiBiahp,angled signpost,Vehicle,None,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_3_0.png
BGaTv6ghfWHQohYJz,angled signpost,Vehicle,None,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_4_0.png
QNTrffSxKbCJH3C2s,angled signpost,Vehicle,None,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_5_0.png
TW9n423omNZDjZ9hp,angled signpost,Vehicle,None,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_6_0.png
wPX6wELbCn9Jyb37A,angled signpost,Vehicle,None,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_7_0.png
c7rQKnQBvtMCpGNhr,antique bed,Bed,Lie Down,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBedW_Remake_0_0.png
gMCFieFjJLX4yXBPJ,antique bed,Bed,Lie Down,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBedW_Remake_1_0.png
s5ZQQKh3XYcue8R6S,antique bed,Bed,Lie Down,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBedW_Remake_2_0.png
eqP7Ro4PzjhZFGMaX,antique bureau,Desk,Place things on top,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBureau_Remake_0_0.png
PwbzwqaKiZ7CPKgh6,antique bureau,Desk,Place things on top,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBureau_Remake_1_0.png
nTM9BgbxMArEAuPda,antique bureau,Desk,Place things on top,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBureau_Remake_2_0.png
