Furn_Id,Special Events,Bought,DIY,Found
EpywQXABBcv2dipsP,FALSE,FALSE,TRUE,TRUE
K9she5Y4SuXA8MGBR,FALSE,FALSE,TRUE,TRUE
vLq9iphAvALBXazDr,FALSE,FALSE,TRUE,TRUE
nuqeFzNE5PneqGHaj,FALSE,FALSE,TRUE,TRUE
DotFsojrhCwrLZ3TF,FALSE,FALSE,TRUE,TRUE
RuRMFyvWnDC2SoG8m,FALSE,FALSE,TRUE,TRUE
NWv9CJfSPtBTKoL4B,FALSE,FALSE,TRUE,TRUE
J4inuBziPCSGZNEPM,FALSE,TRUE,FALSE,TRUE
E2dZPSD94isFZWd2F,FALSE,TRUE,FALSE,TRUE
uAY6FFGdXWeAG9gMa,FALSE,TRUE,FALSE,TRUE
bGCQ9bA27ftHoLoKb,FALSE,TRUE,FALSE,TRUE
5pBqNZaZWveKR6K5s,FALSE,TRUE,FALSE,TRUE
yAj7DyFRDjWbh7qYP,FALSE,TRUE,FALSE,TRUE
t2LzAKDofAZYyqZ6r,FALSE,TRUE,FALSE,TRUE
zgw6WaZRQgrpQ5FTC,TRUE,FALSE,FALSE,FALSE
hdZokWHmfoFTt2FjM,TRUE,FALSE,FALSE,FALSE
NNfoBT2rgDcmG5HhD,TRUE,FALSE,FALSE,FALSE
ZWyY2rRANgXoGcDha,TRUE,FALSE,FALSE,FALSE
vRhn2x3vj2mii4AKH,TRUE,FALSE,FALSE,FALSE
6wyLNus8QqXkbBu72,TRUE,FALSE,FALSE,FALSE
kzirasu23o7Xwz8Cg,FALSE,FALSE,TRUE,FALSE
8MxLKTxpMDwarBE2M,FALSE,FALSE,TRUE,FALSE
uvn5kiMi84NMuesmb,FALSE,FALSE,TRUE,FALSE
D2bHBoj8ZotiBiahp,FALSE,FALSE,TRUE,FALSE
BGaTv6ghfWHQohYJz,FALSE,FALSE,TRUE,FALSE
QNTrffSxKbCJH3C2s,FALSE,FALSE,TRUE,FALSE
TW9n423omNZDjZ9hp,FALSE,FALSE,TRUE,FALSE
wPX6wELbCn9Jyb37A,FALSE,FALSE,TRUE,FALSE
c7rQKnQBvtMCpGNhr,FALSE,TRUE,FALSE,TRUE
gMCFieFjJLX4yXBPJ,FALSE,TRUE,FALSE,TRUE
s5ZQQKh3XYcue8R6S,FALSE,TRUE,FALSE,TRUE
eqP7Ro4PzjhZFGMaX,FALSE,TRUE,FALSE,TRUE
PwbzwqaKiZ7CPKgh6,FALSE,TRUE,FALSE,TRUE
nTM9BgbxMArEAuPda,FALSE,TRUE,FALSE,TRUE
gzBvzGmkCqvaa4dfg,FALSE,TRUE,FALSE,TRUE
d4oC34hgWHdZAv8dT,FALSE,TRUE,FALSE,TRUE
eCZttstT4S3Tr4ZSj,FALSE,TRUE,FALSE,TRUE
54WzSWz3bv4j4279w,FALSE,TRUE,FALSE,TRUE
aPDaateHnZ2K7rnCX,FALSE,TRUE,FALSE,TRUE
prDor5kTcy7ahzz5c,FALSE,TRUE,FALSE,TRUE
kKSfnnXLBk2BMbWEo,FALSE,TRUE,FALSE,TRUE
SBphLepffHinkmtPf,FALSE,TRUE,FALSE,TRUE
7i4eJMFhi2gzqMEZ8,FALSE,TRUE,FALSE,TRUE
WZyBrwSZD4wZtqcBJ,FALSE,TRUE,FALSE,TRUE
epWuBMh226r3nu7xh,FALSE,TRUE,FALSE,TRUE
2n955ZXXD3RXt9gjE,FALSE,TRUE,FALSE,TRUE
F4jrEYe9x7W4E2wYE,FALSE,TRUE,FALSE,TRUE
ptPHtvKpF2JCkS9Zw,FALSE,TRUE,FALSE,TRUE
x2K5wv9K8qGXcmukB,FALSE,TRUE,FALSE,TRUE
qLtWDehmX53gwgha7,FALSE,TRUE,FALSE,TRUE
2bRbENZWkM9BeuiwZ,FALSE,TRUE,FALSE,TRUE
b5MR8PraRhrJzsqYi,FALSE,TRUE,FALSE,TRUE
XAnaYsJ8wouWyBBsu,FALSE,TRUE,FALSE,TRUE
yBtLh6CtFrGD4qTTF,FALSE,TRUE,FALSE,TRUE
Tjvexu4etCrRoAAw4,FALSE,TRUE,FALSE,TRUE
qonCdPiLCmFNtYMsG,FALSE,FALSE,TRUE,FALSE
rjPaqoEyZ2FHDjbkn,FALSE,FALSE,TRUE,FALSE
dYz86HHwPAWYn5c3Z,TRUE,FALSE,TRUE,FALSE
f7tatK2cmYwskb5LS,FALSE,TRUE,FALSE,TRUE
3CKqHScHJuqbW7e4u,FALSE,TRUE,FALSE,TRUE
vNB5LbWmPm2uQhdjo,FALSE,TRUE,FALSE,TRUE
BHxt8Xrz3RxHAq45c,FALSE,TRUE,FALSE,TRUE
qvAcGrMSRKdMPWZAF,FALSE,TRUE,FALSE,TRUE
DZ3hFRhqZ5W62XQ4C,FALSE,TRUE,FALSE,TRUE
MLxrGfmKBYNQoqYYu,TRUE,FALSE,TRUE,FALSE
GsEBBC4JpEgwjgv6e,TRUE,FALSE,FALSE,FALSE
oAQNzhuKcCvh4E9a4,TRUE,FALSE,TRUE,FALSE
mBhzWedMXNB5HSrKa,TRUE,FALSE,TRUE,FALSE
4YqpCyGk4ndhAWjS8,FALSE,TRUE,FALSE,TRUE
wdpzZgQz8aJvnkY33,FALSE,TRUE,FALSE,TRUE
vCcK4sAa2HDC2cLQG,FALSE,TRUE,FALSE,TRUE
xwWJ4q9SvKAkwKAf9,FALSE,TRUE,FALSE,TRUE
uKASWdnn2i8tv3W9G,FALSE,TRUE,FALSE,TRUE
z8zJrXKQxbrLnXXLv,FALSE,TRUE,FALSE,TRUE
uzH4uc5wXZiAeRrDx,FALSE,TRUE,FALSE,TRUE
Mzjo4jFrqZdhCPTR3,FALSE,TRUE,FALSE,TRUE
SNPkuumtp6rc7Df7k,FALSE,TRUE,FALSE,TRUE
9g8Jq3bPaDbew3GZg,FALSE,TRUE,FALSE,TRUE
imMXebxofRWTiDB2y,FALSE,TRUE,FALSE,TRUE
QRHpTEn6WNZZxv8bd,FALSE,TRUE,FALSE,TRUE
kiYP9J9thzGkP2ZXQ,FALSE,TRUE,FALSE,TRUE
5x8pLSL8XjbZnCBQQ,FALSE,TRUE,FALSE,TRUE
6tfwMtaYLE5KtAQKS,FALSE,TRUE,FALSE,TRUE
ihucEvtrsesPCYZB2,FALSE,TRUE,FALSE,TRUE
